Id,y
900,-34.7209427736
901,-15.6602890336
902,70.5753920039
903,-4.60812876757
904,-2.40734410732
905,21.6475887982
906,22.1179003021
907,96.8843366888
908,0.642810188174
909,37.2591186156
910,40.2260734609
911,49.2178662783
912,10.3719825097
913,36.8336755927
914,114.024819948
915,20.3409044005
916,79.4277383953
917,4.73868329867
918,69.4415192987
919,89.3857438442
920,10.4781693057
921,-22.5060851201
922,12.759107972
923,134.955642475
924,19.4125351221
925,85.0703510423
926,101.994276164
927,2.49172791681
928,-7.94962505781
929,115.2809536
930,-8.05314069428
931,142.796497082
932,23.2936637908
933,-46.9534338712
934,138.327988026
935,92.457063805
936,16.2361986861
937,15.8672036737
938,-31.4337223327
939,30.7013505348
940,13.4470544688
941,35.1525235898
942,108.661234104
943,209.235717539
944,14.1039903475
945,-18.2923533813
946,86.2649257957
947,136.253843467
948,27.5583124681
949,47.8657744869
950,94.4758241994
951,124.567051971
952,136.589482986
953,65.3939781937
954,9.86386998313
955,42.9450469448
956,-13.6079139599
957,45.484268019
958,-5.0655728846
959,-9.26911613516
960,-25.3739735473
961,42.4660282763
962,8.72276361152
963,65.2982443267
964,-22.9975261813
965,-5.21924833602
966,46.6922089283
967,16.790010242
968,77.8763462782
969,11.4265233915
970,-16.3186796832
971,32.7334747145
972,-65.0060807806
973,108.334929256
974,-37.6106793014
975,84.800791798
976,22.8641614884
977,23.693386372
978,88.3063730019
979,33.7466629507
980,14.2646878822
981,3.68752887063
982,-17.5843114204
983,84.445278379
984,71.8431655559
985,-33.7942050299
986,33.2637441082
987,48.5473092936
988,77.9676073077
989,21.4883370381
990,56.0346587103
991,28.9189226861
992,17.8399722932
993,27.4158801371
994,23.8797174576
995,-0.90628854175
996,36.8692227379
997,-24.9960758854
998,-12.1032655882
999,84.3582014119
1000,74.9622570376
1001,-63.162769222
1002,111.760965488
1003,-14.9888788599
1004,61.9123514148
1005,58.1477211673
1006,68.2057661515
1007,11.4929099762
1008,19.5215440486
1009,61.2581166948
1010,116.685244903
1011,95.9697426337
1012,18.2411982778
1013,10.775166515
1014,-23.0810449249
1015,31.1592767187
1016,90.141718609
1017,37.0973542788
1018,-2.19048574048
1019,60.3670268496
1020,-41.6807036339
1021,52.4087487641
1022,-14.3713594309
1023,66.2150998211
1024,15.688105739
1025,31.8667057996
1026,48.7073455074
1027,42.8967783576
1028,25.3467209644
1029,41.9910325365
1030,24.3703475881
1031,15.7048651371
1032,53.198209253
1033,102.803658978
1034,46.8116178331
1035,-67.958176041
1036,10.0882777711
1037,23.3867318167
1038,5.68617672582
1039,87.956211654
1040,20.5975055033
1041,21.8400823732
1042,7.78848771012
1043,13.6331584281
1044,71.7637602442
1045,-63.1969178194
1046,43.6950523295
1047,126.065592656
1048,6.18141268126
1049,102.757244461
1050,66.3473818859
1051,52.1442680017
1052,19.7433598059
1053,34.0857528454
1054,144.213092621
1055,5.72357404618
1056,36.3122577286
1057,4.20893488731
1058,28.5148092593
1059,-64.2112589646
1060,94.2626586992
1061,-28.0008838219
1062,67.2343901747
1063,122.233884787
1064,28.349396483
1065,-13.7393384514
1066,47.0741573658
1067,34.4543765704
1068,200.46641051
1069,3.84950610407
1070,52.713626336
1071,58.4244265471
1072,15.5954206145
1073,79.2663883198
1074,-16.5309625552
1075,-71.3853325525
1076,-24.3601361772
1077,-36.7905008137
1078,39.9337277537
1079,-11.2471039836
1080,-4.04888391357
1081,85.5914960609
1082,-3.21533306169
1083,-7.94516220836
1084,86.4823029467
1085,24.8838527435
1086,-48.7755933817
1087,-0.294202662158
1088,11.6302401873
1089,54.0010878757
1090,0.811526870621
1091,104.829426982
1092,12.952692827
1093,43.726349036
1094,57.6367611176
1095,-79.4666289832
1096,14.2076617184
1097,-53.2749357674
1098,28.1714463737
1099,67.6577308267
1100,111.035918872
1101,100.941275174
1102,87.832202862
1103,111.292656553
1104,5.67273027861
1105,84.9463368231
1106,-41.6621424256
1107,63.8675278931
1108,71.8025609683
1109,-16.3888878508
1110,62.2308056335
1111,65.7711417452
1112,-16.3758727451
1113,7.21327263136
1114,4.26612968984
1115,-2.45153230538
1116,95.0113497436
1117,24.2770899157
1118,10.7830029427
1119,-3.78747294165
1120,52.0398978403
1121,15.7999239138
1122,-0.888134952944
1123,71.6154733794
1124,11.9254784719
1125,48.2146814756
1126,124.137212074
1127,191.01165312
1128,37.8668789616
1129,10.86773807
1130,54.5798209251
1131,55.0417368404
1132,73.5229487521
1133,-81.7822763809
1134,92.4399047684
1135,-58.0128210862
1136,57.9027288724
1137,-27.9096170992
1138,90.459132278
1139,18.2014501809
1140,-16.152979018
1141,48.1737281699
1142,-34.1443854405
1143,34.0165146007
1144,149.319184046
1145,3.9973383983
1146,22.7092781085
1147,44.0448626373
1148,39.6718330979
1149,11.7788604991
1150,55.7487101527
1151,22.3955206904
1152,0.858889592966
1153,89.8917274824
1154,-28.485583192
1155,9.07951753029
1156,-46.0157558482
1157,-31.2623503196
1158,2.70489671534
1159,23.7893093157
1160,30.9393054214
1161,48.4097045025
1162,-6.90638676457
1163,-33.3418574324
1164,11.9145068591
1165,-17.6163813506
1166,83.7906584378
1167,189.115928708
1168,134.045149264
1169,-1.47719631086
1170,45.9466878196
1171,-147.075452626
1172,52.5863668075
1173,-2.97270462744
1174,-2.12687492911
1175,-2.85234964851
